song_title,artist,genres,date,rank
Whatever You Need,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-07,80.0
Love So Soft,Kelly Clarkson,"['dance pop', 'pop', 'talent show']",2017-10-07,81.0
Relationship,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",2017-10-07,82.0
More Girls Like You,Kip Moore,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,83.0
Questions,Chris Brown,"['r&b', 'rap']",2017-10-07,84.0
DNA,BTS,"['k-pop', 'k-pop boy group', 'pop']",2017-10-07,85.0
Light It Up,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,86.0
Fetish,Selena Gomez,"['pop', 'post-teen pop']",2017-10-07,87.0
I'll Name The Dogs,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,88.0
Perfect,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",2017-10-07,89.0
I Could Use A Love Song,Maren Morris,"['classic texas country', 'contemporary country']",2017-10-07,90.0
It Ain't My Fault,Brothers Osborne,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",2017-10-07,91.0
Homemade Dynamite,Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']",2017-10-07,92.0
Drinkin' Problem,Midland,"['classic texas country', 'neo-traditional country']",2017-10-07,93.0
Fix A Drink,Chris Janson,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-07,94.0
Do I Make You Wanna,Billy Currington,"['contemporary country', 'country', 'country road']",2017-10-07,95.0
Everybody Dies In Their Nightmares,,[],2017-10-07,96.0
No Limit,G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",2017-10-07,97.0
These Heaux,Bhad Bhabie,"['trap queen', 'viral rap']",2017-10-07,98.0
Wish I Knew You,The Revivalists,['modern alternative rock'],2017-10-07,99.0
No Complaints,Metro Boomin,['rap'],2017-10-07,100.0
