song_title,artist,genres,date,rank
Heartache On The Dance Floor,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,61.0
Jocelyn Flores,,[],2017-10-21,62.0
All The Pretty Girls,Kenny Chesney,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,63.0
It's A Vibe,2 Chainz ,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-21,64.0
Greatest Love Story,LANCO,"['contemporary country', 'country road', 'modern country rock']",2017-10-21,65.0
Feels,Calvin Harris ,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",2017-10-21,66.0
They Don't Know,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,67.0
Hi Bich,Bhad Bhabie,"['trap queen', 'viral rap']",2017-10-21,68.0
Pills And Automobiles,Chris Brown ,"['r&b', 'rap']",2017-10-21,69.0
Dusk Till Dawn,Zayn ,"['pop', 'uk pop']",2017-10-21,70.0
Every Little Thing,Carly Pearce,"['contemporary country', 'country', 'country road']",2017-10-21,71.0
Love So Soft,Kelly Clarkson,"['dance pop', 'pop', 'talent show']",2017-10-21,72.0
F**k Love,,[],2017-10-21,73.0
No Promises,A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",2017-10-21,74.0
Say A',A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",2017-10-21,75.0
Escapate Conmigo,Wisin ,"['reggaeton', 'urbano latino']",2017-10-21,76.0
B.E.D.,Jacquees,"['atl hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap']",2017-10-21,77.0
Relationship,Young Thug ,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",2017-10-21,78.0
Sauce It Up,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017-10-21,79.0
Light It Up,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,80.0
More Girls Like You,Kip Moore,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,81.0
Fix A Drink,Chris Janson,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,82.0
I'll Name The Dogs,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,83.0
Undefeated,A Boogie Wit da Hoodie ,"['melodic rap', 'rap', 'trap']",2017-10-21,84.0
I Could Use A Love Song,Maren Morris,"['classic texas country', 'contemporary country']",2017-10-21,85.0
Beast Mode,A Boogie Wit da Hoodie ,"['melodic rap', 'rap', 'trap']",2017-10-21,86.0
DNA,BTS,"['k-pop', 'k-pop boy group', 'pop']",2017-10-21,87.0
It Ain't My Fault,Brothers Osborne,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",2017-10-21,88.0
Questions,Chris Brown,"['r&b', 'rap']",2017-10-21,89.0
Let Me Go,Hailee Steinfeld ,['pop'],2017-10-21,90.0
Like I Loved You,Brett Young,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,91.0
No Such Thing As A Broken Heart,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-21,92.0
Do I Make You Wanna,Billy Currington,"['contemporary country', 'country', 'country road']",2017-10-21,93.0
Losing Sleep,Chris Young,"['contemporary country', 'country', 'country road']",2017-10-21,94.0
Go Flex,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017-10-21,95.0
Sky Walker,Miguel ,"['r&b', 'urban contemporary']",2017-10-21,96.0
Plain Jane,A$AP Ferg ,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-21,97.0
Smooth,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",2017-10-21,98.0
Round Here Buzz,Eric Church,"['contemporary country', 'country', 'country road']",2017-10-21,99.0
Whatever You Need,Meek Mill ,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2017-10-21,100.0
