song_title,artist,genres,date,rank
Fix A Drink,Chris Janson,['Country'],2017-10-14,81.0
Light It Up,Luke Bryan,['Country'],2017-10-14,82.0
I'll Name The Dogs,Blake Shelton,['Country'],2017-10-14,83.0
More Girls Like You,Kip Moore,['Country'],2017-10-14,84.0
No Such Thing As A Broken Heart,Old Dominion,['Country'],2017-10-14,85.0
I Could Use A Love Song,Maren Morris,,2017-10-14,86.0
Relationship,Young Thug ,['Hip Hop'],2017-10-14,87.0
Back To You,Louis Tomlinson ,['Pop'],2017-10-14,88.0
It Ain't My Fault,Brothers Osborne,['Country'],2017-10-14,89.0
Whatever You Need,Meek Mill ,['Hip Hop'],2017-10-14,90.0
Questions,Chris Brown,"['R&B', 'Hip Hop']",2017-10-14,91.0
Curve,Gucci Mane ,['Hip Hop'],2017-10-14,92.0
Do I Make You Wanna,Billy Currington,['Country'],2017-10-14,93.0
Losing Sleep,Chris Young,['Country'],2017-10-14,94.0
Like I Loved You,Brett Young,['Country'],2017-10-14,95.0
Fetish,Selena Gomez ,['Pop'],2017-10-14,96.0
Round Here Buzz,Eric Church,['Country'],2017-10-14,97.0
Plain Jane,A$AP Ferg ,['Hip Hop'],2017-10-14,98.0
Wish I Knew You,The Revivalists,,2017-10-14,99.0
Go Flex,Post Malone,"['Pop', 'Hip Hop']",2017-10-14,100.0
