date,rank,song_title,artist
2016-10-22,99,Why You Always Hatin?,YG 
2016-10-22,100,All Eyez,The Game 
2016-10-29,1,Closer,The Chainsmokers 
2016-10-29,2,Starboy,The Weeknd 
2016-10-29,3,Heathens,twenty one pilots
2016-10-29,4,Let Me Love You,DJ Snake 
2016-10-29,5,24K Magic,Bruno Mars
2016-10-29,6,Broccoli,D.R.A.M. 
2016-10-29,7,Cold Water,Major Lazer 
2016-10-29,8,Treat You Better,Shawn Mendes
2016-10-29,9,Cheap Thrills,Sia 
2016-10-29,10,Side To Side,Ariana Grande 
2016-10-29,11,Juju On That Beat (TZ Anthem),Zay Hilfigerrr 
2016-10-29,12,I Hate U I Love U,gnash 
2016-10-29,13,Don't Let Me Down,The Chainsmokers 
2016-10-29,14,This Is What You Came For,Calvin Harris 
2016-10-29,15,Gold,Kiiara
2016-10-29,16,Ride,twenty one pilots
2016-10-29,17,One Dance,Drake 
2016-10-29,18,Needed Me,Rihanna
2016-10-29,19,Send My Love (To Your New Lover),Adele
2016-10-29,20,Starving,Hailee Steinfeld 
2016-10-29,21,Luv,Tory Lanez
2016-10-29,22,Can't Stop The Feeling!,Justin Timberlake
2016-10-29,23,Sucker For Pain,"Lil Wayne, Wiz Khalifa "
2016-10-29,24,Too Good,Drake 
2016-10-29,25,The Greatest,Sia 
2016-10-29,26,We Don't Talk Anymore,Charlie Puth 
2016-10-29,27,Hymn For The Weekend,Coldplay
2016-10-29,28,OOOUUU,Young M.A
2016-10-29,29,Unsteady,
2016-10-29,30,My Way,Calvin Harris
2016-10-29,31,"Sit Still, Look Pretty",Daya
2016-10-29,32,Panda,Desiigner
2016-10-29,33,Black Beatles,Rae Sremmurd 
2016-10-29,34,Into You,Ariana Grande
2016-10-29,35,Caroline,Amine
2016-10-29,36,Setting The World On Fire,Kenny Chesney 
2016-10-29,37,Tiimmy Turner,Desiigner
2016-10-29,38,All We Know,The Chainsmokers 
2016-10-29,39,In The Name Of Love,Martin Garri
2016-10-29,40,Blue Ain't Your Color,Keith Urban
2016-10-29,41,For Free,DJ Khaled 
2016-10-29,42,Scars To Your Beautiful,Alessia Cara
2016-10-29,43,Controlla,Drake
2016-10-29,44,Chill Bill,Rob $tone 
2016-10-29,45,No Limit,Usher 
2016-10-29,46,Work From Home,Fifth Harmony 
2016-10-29,47,Pick Up The Phone,Young Thug And Travis Scott 
2016-10-29,48,Do You Mind,DJ Khaled 
2016-10-29,49,No Problem,Chance The Rapper 
2016-10-29,50,Just Like Fire,P!nk
2016-10-29,51,Middle Of A Memory,Cole Swindell
2016-10-29,52,I Know Somebody,LOCASH
2016-10-29,53,It Don't Hurt Like It Used To,Billy Currington
2016-10-29,54,This Town,Niall Horan
2016-10-29,55,Love Me Now,John Legend
2016-10-29,56,Don't Wanna Know,Maroon 5 
2016-10-29,57,1 Night,Lil Yachty
2016-10-29,58,Move,Luke Bryan
2016-10-29,59,May We All,Florida Georgia Line 
2016-10-29,60,Father Stretch My Hands Pt. 1,Kanye West
2016-10-29,61,You Don't Own Me,Grace 
2016-10-29,62,Come And See Me,PARTYNE
2016-10-29,63,A Little More Summertime,Jason Aldean
2016-10-29,64,Fade,Kanye West
2016-10-29,65,This Girl,Kungs vs Cookin' On 3 Burners
2016-10-29,66,Too Much Sauce,DJ ESCO 
2016-10-29,67,Vice,Miranda Lambert
2016-10-29,68,Sleep Without You,Brett Young
2016-10-29,69,Rock On,Tucker Beathard
2016-10-29,70,Today,Brad Paisley
2016-10-29,71,X,21 Savage 
2016-10-29,72,Money Longer,Lil Uzi Vert
2016-10-29,73,You Was Right,Lil Uzi Vert
2016-10-29,74,Key To The Streets,YFN Lucci 
2016-10-29,75,Different For Girls,Dierks Bentley 
2016-10-29,76,Million Reasons,Lady Gaga
2016-10-29,77,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO
2016-10-29,78,I Met A Girl,William Michael Morgan
2016-10-29,79,Wishing,DJ Drama 
2016-10-29,80,HandClap,Fitz And The Tantrums
2016-10-29,81,Song For Another Time,Old Dominion
2016-10-29,82,All Time Low,Jon Bellion
2016-10-29,83,Hold Up,Beyonce
2016-10-29,84,Fresh Eyes,Andy Grammer
2016-10-29,85,Ain't My Fault,Zara Larsson
2016-10-29,86,"Wat U Mean (Aye, Aye, Aye)",Dae Dae
2016-10-29,87,You & Me,Marc E. Bassy 
2016-10-29,88,All In My Head (Flex),Fifth Harmony 
2016-10-29,89,Mercy,Shawn Mendes
2016-10-29,90,CRZY,Kehlani
2016-10-29,91,Capsize,Frenship 
2016-10-29,92,THat Part,ScHoolboy Q 
2016-10-29,93,Wanna Be That Song,Brett Eldredge
2016-10-29,94,Peter Pan,Kelsea Ballerini
2016-10-29,95,Perfect Illusion,Lady Gaga
2016-10-29,96,Kids,OneRepublic
2016-10-29,97,Forever Country,"Artists Of Then, Now "
2016-10-29,98,I Got The Keys,DJ Khaled 
2016-10-29,99,Cranes In The Sky,Solange
2016-10-29,100,Gangsta,Kehlani
2016-11-05,1,Closer,The Chainsmokers 
2016-11-05,2,Starboy,The Weeknd 
2016-11-05,3,Heathens,twenty one pilots
2016-11-05,4,Let Me Love You,DJ Snake 
2016-11-05,5,Broccoli,D.R.A.M. 
2016-11-05,6,24K Magic,Bruno Mars
2016-11-05,7,Cold Water,Major Lazer 
2016-11-05,8,Side To Side,Ariana Grande 
2016-11-05,9,Don't Wanna Know,Maroon 5 
2016-11-05,10,Treat You Better,Shawn Mendes
2016-11-05,11,I Hate U I Love U,gnash 
2016-11-05,12,Cheap Thrills,Sia 
2016-11-05,13,Juju On That Beat (TZ Anthem),Zay Hilfigerrr 
2016-11-05,14,Gold,Kiiara
2016-11-05,15,Don't Let Me Down,The Chainsmokers 
2016-11-05,16,Ride,twenty one pilots
2016-11-05,17,This Is What You Came For,Calvin Harris 
2016-11-05,18,Starving,Hailee Steinfeld 
2016-11-05,19,Can't Stop The Feeling!,Justin Timberlake
2016-11-05,20,Luv,Tory Lanez
2016-11-05,21,OOOUUU,Young M.A
2016-11-05,22,Black Beatles,Rae Sremmurd 
2016-11-05,23,One Dance,Drake 
2016-11-05,24,Send My Love (To Your New Lover),Adele
2016-11-05,25,The Greatest,Sia 
2016-11-05,26,Needed Me,Rihanna
2016-11-05,27,Sucker For Pain,"Lil Wayne, Wiz Khalifa "
2016-11-05,28,Too Good,Drake 
2016-11-05,29,We Don't Talk Anymore,Charlie Puth 
2016-11-05,30,Unsteady,
2016-11-05,31,Hymn For The Weekend,Coldplay
2016-11-05,32,Caroline,Amine
2016-11-05,33,"Sit Still, Look Pretty",Daya
2016-11-05,34,Tiimmy Turner,Desiigner
2016-11-05,35,My Way,Calvin Harris
2016-11-05,36,Scars To Your Beautiful,Alessia Cara
2016-11-05,37,Setting The World On Fire,Kenny Chesney 
2016-11-05,38,Panda,Desiigner
2016-11-05,39,Chill Bill,Rob $tone 
2016-11-05,40,Blue Ain't Your Color,Keith Urban
2016-11-05,41,Into You,Ariana Grande
2016-11-05,42,In The Name Of Love,Martin Garri
2016-11-05,43,No Problem,Chance The Rapper 
2016-11-05,44,All We Know,The Chainsmokers 
2016-11-05,45,Controlla,Drake
2016-11-05,46,Middle Of A Memory,Cole Swindell
2016-11-05,47,For Free,DJ Khaled 
2016-11-05,48,No Limit,Usher 
2016-11-05,49,Work From Home,Fifth Harmony 
2016-11-05,50,May We All,Florida Georgia Line 
2016-11-05,51,Pick Up The Phone,Young Thug And Travis Scott 
2016-11-05,52,1 Night,Lil Yachty
2016-11-05,53,Move,Luke Bryan
2016-11-05,54,X,21 Savage 
2016-11-05,55,Do You Mind,DJ Khaled 
2016-11-05,56,I Know Somebody,LOCASH
2016-11-05,57,A Little More Summertime,Jason Aldean
2016-11-05,58,Money Longer,Lil Uzi Vert
2016-11-05,59,All Time Low,Jon Bellion
2016-11-05,60,Come And See Me,PARTYNE
2016-11-05,61,Sleep Without You,Brett Young
2016-11-05,62,It Don't Hurt Like It Used To,Billy Currington
2016-11-05,63,Too Much Sauce,DJ ESCO 
2016-11-05,64,Fade,Kanye West
2016-11-05,65,This Town,Niall Horan
2016-11-05,66,Vice,Miranda Lambert
2016-11-05,67,HandClap,Fitz And The Tantrums
2016-11-05,68,False Alarm,The Weeknd
2016-11-05,69,Song For Another Time,Old Dominion
2016-11-05,70,Key To The Streets,YFN Lucci 
2016-11-05,71,You Was Right,Lil Uzi Vert
2016-11-05,72,Blow Your Mind (Mwah),Dua Lipa
2016-11-05,73,Dirty Laundry,Carrie Underwood
2016-11-05,74,Fresh Eyes,Andy Grammer
2016-11-05,75,This Girl,Kungs vs Cookin' On 3 Burners
2016-11-05,76,Wanna Be That Song,Brett Eldredge
2016-11-05,77,Wishing,DJ Drama 
2016-11-05,78,Capsize,Frenship 
2016-11-05,79,All Eyez,The Game 
2016-11-05,80,Bad Things,Machine Gun Kelly 
2016-11-05,81,"Wat U Mean (Aye, Aye, Aye)",Dae Dae
2016-11-05,82,Hold Up,Beyonce
2016-11-05,83,Different For Girls,Dierks Bentley 
2016-11-05,84,Mercy,Shawn Mendes
2016-11-05,85,Ain't My Fault,Zara Larsson
2016-11-05,86,THat Part,ScHoolboy Q 
2016-11-05,87,CRZY,Kehlani
2016-11-05,88,Why You Always Hatin?,YG 
2016-11-05,89,All In My Head (Flex),Fifth Harmony 
2016-11-05,90,Gangsta,Kehlani
2016-11-05,91,Rock On,Tucker Beathard
2016-11-05,92,You & Me,Marc E. Bassy 
2016-11-05,93,Alone,Marshmello
2016-11-05,94,I Met A Girl,William Michael Morgan
2016-11-05,95,80s Mercedes,Maren Morris
2016-11-05,96,I Got The Keys,DJ Khaled 
2016-11-05,97,Lockjaw,French Montana 
2016-11-05,98,My Sh*t,A Boogie Wit da Hoodie
2016-11-05,99,How I'll Always Be,Tim McGraw
2016-11-05,100,Goosebumps,Travis Scott
2016-11-12,1,Closer,The Chainsmokers 
2016-11-12,2,Starboy,The Weeknd 
2016-11-12,3,Heathens,twenty one pilots
2016-11-12,4,Let Me Love You,DJ Snake 
2016-11-12,5,Broccoli,D.R.A.M. 
2016-11-12,6,24K Magic,Bruno Mars
2016-11-12,7,Side To Side,Ariana Grande 
2016-11-12,8,Cold Water,Major Lazer 
2016-11-12,9,Juju On That Beat (TZ Anthem),Zay Hilfigerrr 
2016-11-12,10,I Hate U I Love U,gnash 
2016-11-12,11,Treat You Better,Shawn Mendes
2016-11-12,12,Cheap Thrills,Sia 
2016-11-12,13,Don't Wanna Know,Maroon 5 
2016-11-12,14,Starving,Hailee Steinfeld 
2016-11-12,15,Gold,Kiiara
2016-11-12,16,Black Beatles,Rae Sremmurd 
2016-11-12,17,Don't Let Me Down,The Chainsmokers 
2016-11-12,18,This Is What You Came For,Calvin Harris 
2016-11-12,19,The Greatest,Sia 
2016-11-12,20,Ride,twenty one pilots
2016-11-12,21,Can't Stop The Feeling!,Justin Timberlake
2016-11-12,22,OOOUUU,Young M.A
2016-11-12,23,One Dance,Drake 
2016-11-12,24,Fake Love,Drake
2016-11-12,25,Caroline,Amine
2016-11-12,26,Send My Love (To Your New Lover),Adele
2016-11-12,27,Unsteady,
2016-11-12,28,Needed Me,Rihanna
2016-11-12,29,Luv,Tory Lanez
2016-11-12,30,Scars To Your Beautiful,Alessia Cara
2016-11-12,31,Sucker For Pain,"Lil Wayne, Wiz Khalifa "
2016-11-12,32,Hallelujah,Pentatoni
2016-11-12,33,Too Good,Drake 
2016-11-12,34,"Sit Still, Look Pretty",Daya
2016-11-12,35,We Don't Talk Anymore,Charlie Puth 
2016-11-12,36,Hymn For The Weekend,Coldplay
2016-11-12,37,Tiimmy Turner,Desiigner
2016-11-12,38,Sneakin',Drake 
2016-11-12,39,Setting The World On Fire,Kenny Chesney 
2016-11-12,40,Chill Bill,Rob $tone 
2016-11-12,41,My Way,Calvin Harris
2016-11-12,42,Blue Ain't Your Color,Keith Urban
2016-11-12,43,Panda,Desiigner
2016-11-12,44,In The Name Of Love,Martin Garri
2016-11-12,45,Into You,Ariana Grande
2016-11-12,46,No Problem,Chance The Rapper 
2016-11-12,47,May We All,Florida Georgia Line 
2016-11-12,48,Middle Of A Memory,Cole Swindell
2016-11-12,49,Controlla,Drake
2016-11-12,50,X,21 Savage 
2016-11-12,51,Move,Luke Bryan
2016-11-12,52,Do You Mind,DJ Khaled 
2016-11-12,53,1 Night,Lil Yachty
2016-11-12,54,Pick Up The Phone,Young Thug And Travis Scott 
2016-11-12,55,All We Know,The Chainsmokers 
2016-11-12,56,No Limit,Usher 
2016-11-12,57,Million Reasons,Lady Gaga
2016-11-12,58,All Time Low,Jon Bellion
2016-11-12,59,I Know Somebody,LOCASH
2016-11-12,60,A Little More Summertime,Jason Aldean
2016-11-12,61,Come And See Me,PARTYNE
2016-11-12,62,Sleep Without You,Brett Young
2016-11-12,63,Money Longer,Lil Uzi Vert
2016-11-12,64,Too Much Sauce,DJ ESCO 
2016-11-12,65,Fade,Kanye West
2016-11-12,66,A-YO,Lady Gaga
2016-11-12,67,Vice,Miranda Lambert
2016-11-12,68,This Town,Niall Horan
2016-11-12,69,Shout Out To My Ex,Little Mi
2016-11-12,70,You Was Right,Lil Uzi Vert
2016-11-12,71,It Don't Hurt Like It Used To,Billy Currington
2016-11-12,72,Song For Another Time,Old Dominion
2016-11-12,73,Key To The Streets,YFN Lucci 
2016-11-12,74,Fresh Eyes,Andy Grammer
2016-11-12,75,HandClap,Fitz And The Tantrums
2016-11-12,76,Wanna Be That Song,Brett Eldredge
2016-11-12,77,Dirty Laundry,Carrie Underwood
2016-11-12,78,Perfect Illusion,Lady Gaga
2016-11-12,79,Say It,Flume 
2016-11-12,80,Love On The Brain,Rihanna
2016-11-12,81,Capsize,Frenship 
2016-11-12,82,Wishing,DJ Drama 
2016-11-12,83,Mercy,Shawn Mendes
2016-11-12,84,All Eyez,The Game 
2016-11-12,85,No Heart,21 Savage 
2016-11-12,86,Ain't My Fault,Zara Larsson
2016-11-12,87,"Wat U Mean (Aye, Aye, Aye)",Dae Dae
2016-11-12,88,This Girl,Kungs vs Cookin' On 3 Burners
2016-11-12,89,How I'll Always Be,Tim McGraw
2016-11-12,90,Hold Up,Beyonce
2016-11-12,91,Why You Always Hatin?,YG 
2016-11-12,92,My Sh*t,A Boogie Wit da Hoodie
2016-11-12,93,80s Mercedes,Maren Morris
2016-11-12,94,CRZY,Kehlani
2016-11-12,95,Greenlight,Pitbull 
2016-11-12,96,Lockjaw,French Montana 
2016-11-12,97,You & Me,Marc E. Bassy 
2016-11-12,98,Goosebumps,Travis Scott
2016-11-12,99,What They Want,Russ
2016-11-12,100,Say You Won't Let Go,James Arthur
2016-11-19,1,Closer,The Chainsmokers 
2016-11-19,2,Starboy,The Weeknd 
2016-11-19,3,Heathens,twenty one pilots
2016-11-19,4,Let Me Love You,DJ Snake 
2016-11-19,5,Broccoli,D.R.A.M. 
2016-11-19,6,Side To Side,Ariana Grande 
2016-11-19,7,24K Magic,Bruno Mars
2016-11-19,8,Juju On That Beat (TZ Anthem),Zay Hilfigerrr 
2016-11-19,9,Black Beatles,Rae Sremmurd 
2016-11-19,10,Fake Love,Drake
2016-11-19,11,Don't Wanna Know,Maroon 5 
2016-11-19,12,Cold Water,Major Lazer 
2016-11-19,13,I Hate U I Love U,gnash 
2016-11-19,14,Treat You Better,Shawn Mendes
2016-11-19,15,Cheap Thrills,Sia 
2016-11-19,16,Gold,Kiiara
2016-11-19,17,Don't Let Me Down,The Chainsmokers 
2016-11-19,18,Starving,Hailee Steinfeld 
2016-11-19,19,OOOUUU,Young M.A
2016-11-19,20,The Greatest,Sia 
2016-11-19,21,Caroline,Amine
2016-11-19,22,Can't Stop The Feeling!,Justin Timberlake
2016-11-19,23,This Is What You Came For,Calvin Harris 
2016-11-19,24,Scars To Your Beautiful,Alessia Cara
2016-11-19,25,Blue Ain't Your Color,Keith Urban
2016-11-19,26,Ride,twenty one pilots
2016-11-19,27,Unsteady,
2016-11-19,28,Sneakin',Drake 
2016-11-19,29,Setting The World On Fire,Kenny Chesney 
2016-11-19,30,One Dance,Drake 
2016-11-19,31,Send My Love (To Your New Lover),Adele
2016-11-19,32,Needed Me,Rihanna
2016-11-19,33,Sucker For Pain,"Lil Wayne, Wiz Khalifa "
2016-11-19,34,Luv,Tory Lanez
2016-11-19,35,Chill Bill,Rob $tone 
2016-11-19,36,"Sit Still, Look Pretty",Daya
2016-11-19,37,Too Good,Drake 
2016-11-19,38,Tiimmy Turner,Desiigner
2016-11-19,39,In The Name Of Love,Martin Garri
2016-11-19,40,May We All,Florida Georgia Line 
2016-11-19,41,Hymn For The Weekend,Coldplay
2016-11-19,42,My Way,Calvin Harris
2016-11-19,43,Panda,Desiigner
2016-11-19,44,We Don't Talk Anymore,Charlie Puth 
2016-11-19,45,Do You Mind,DJ Khaled 
2016-11-19,46,No Problem,Chance The Rapper 
2016-11-19,47,X,21 Savage 
2016-11-19,48,Middle Of A Memory,Cole Swindell
2016-11-19,49,Litty,Meek Mill 
2016-11-19,50,Move,Luke Bryan
2016-11-19,51,1 Night,Lil Yachty
2016-11-19,52,Pick Up The Phone,Young Thug And Travis Scott 
2016-11-19,53,All Time Low,Jon Bellion
2016-11-19,54,Better Man,Little Big Town
2016-11-19,55,A Little More Summertime,Jason Aldean
2016-11-19,56,Sleep Without You,Brett Young
2016-11-19,57,Million Reasons,Lady Gaga
2016-11-19,58,Vice,Miranda Lambert
2016-11-19,59,All We Know,The Chainsmokers 
2016-11-19,60,Money Longer,Lil Uzi Vert
2016-11-19,61,Too Much Sauce,DJ ESCO 
2016-11-19,62,No Limit,Usher 
2016-11-19,63,Come And See Me,PARTYNE
2016-11-19,64,Fade,Kanye West
2016-11-19,65,This Town,Niall Horan
2016-11-19,66,Song For Another Time,Old Dominion
2016-11-19,67,You Was Right,Lil Uzi Vert
2016-11-19,68,Froze,Meek Mill 
2016-11-19,69,Dirty Laundry,Carrie Underwood
2016-11-19,70,Offended,Meek Mill 
2016-11-19,71,No Heart,21 Savage 
2016-11-19,72,Wanna Be That Song,Brett Eldredge
2016-11-19,73,"Two Birds, One Stone",Drake
2016-11-19,74,Love On The Brain,Rihanna
2016-11-19,75,On The Regular,Meek Mill
2016-11-19,76,Key To The Streets,YFN Lucci 
2016-11-19,77,Hallelujah,Pentatoni
2016-11-19,78,HandClap,Fitz And The Tantrums
2016-11-19,79,Fresh Eyes,Andy Grammer
2016-11-19,80,Mercy,Shawn Mendes
2016-11-19,81,It Don't Hurt Like It Used To,Billy Currington
2016-11-19,82,I Know Somebody,LOCASH
2016-11-19,83,Capsize,Frenship 
2016-11-19,84,The Difference,Meek Mill 
2016-11-19,85,Say You Won't Let Go,James Arthur
2016-11-19,86,Shout Out To My Ex,Little Mi
2016-11-19,87,All Eyez,The Game 
2016-11-19,88,Star Of The Show,Thomas Rhett
2016-11-19,89,How I'll Always Be,Tim McGraw
2016-11-19,90,Ain't My Fault,Zara Larsson
2016-11-19,91,Wishing,DJ Drama 
2016-11-19,92,80s Mercedes,Maren Morris
2016-11-19,93,Blue Notes,Meek Mill
2016-11-19,94,My Sh*t,A Boogie Wit da Hoodie
2016-11-19,95,What They Want,Russ
2016-11-19,96,Chantaje,Shakira 
2016-11-19,97,Blessed Up,Meek Mill
2016-11-19,98,Love Me Now,John Legend
2016-11-19,99,"Wat U Mean (Aye, Aye, Aye)",Dae Dae
2016-11-19,100,Cool Girl,Tove Lo
2016-11-26,1,Black Beatles,Rae Sremmurd 
2016-11-26,2,Closer,The Chainsmokers 
2016-11-26,3,Starboy,The Weeknd 
2016-11-26,4,Heathens,twenty one pilots
2016-11-26,5,Let Me Love You,DJ Snake 
2016-11-26,6,24K Magic,Bruno Mars
2016-11-26,7,Side To Side,Ariana Grande 
2016-11-26,8,Juju On That Beat (TZ Anthem),Zay Hilfigerrr 
2016-11-26,9,Broccoli,D.R.A.M. 
2016-11-26,10,Don't Wanna Know,Maroon 5 
2016-11-26,11,I Hate U I Love U,gnash 
2016-11-26,12,Cold Water,Major Lazer 
2016-11-26,13,Treat You Better,Shawn Mendes
2016-11-26,14,Used To This,Future 
2016-11-26,15,Cheap Thrills,Sia 
2016-11-26,16,Can't Stop The Feeling!,Justin Timberlake
2016-11-26,17,Fake Love,Drake
2016-11-26,18,Caroline,Amine
2016-11-26,19,Starving,Hailee Steinfeld 
2016-11-26,20,OOOUUU,Young M.A
2016-11-26,21,The Greatest,Sia 
2016-11-26,22,Scars To Your Beautiful,Alessia Cara
2016-11-26,23,Don't Let Me Down,The Chainsmokers 
2016-11-26,24,Gold,Kiiara
2016-11-26,25,Unsteady,
2016-11-26,26,Blue Ain't Your Color,Keith Urban
2016-11-26,27,This Is What You Came For,Calvin Harris 
2016-11-26,28,Ride,twenty one pilots
2016-11-26,29,Chill Bill,Rob $tone 
2016-11-26,30,May We All,Florida Georgia Line 
2016-11-26,31,In The Name Of Love,Martin Garri
2016-11-26,32,One Dance,Drake 
2016-11-26,33,Send My Love (To Your New Lover),Adele
2016-11-26,34,Needed Me,Rihanna
2016-11-26,35,Sucker For Pain,"Lil Wayne, Wiz Khalifa "
2016-11-26,36,Tiimmy Turner,Desiigner
2016-11-26,37,X,21 Savage 
2016-11-26,38,"Sit Still, Look Pretty",Daya
2016-11-26,39,Do You Mind,DJ Khaled 
2016-11-26,40,Luv,Tory Lanez
2016-11-26,41,Panda,Desiigner
2016-11-26,42,All Time Low,Jon Bellion
2016-11-26,43,Sneakin',Drake 
2016-11-26,44,We Don't Talk Anymore,Charlie Puth 
2016-11-26,45,Too Good,Drake 
2016-11-26,46,No Problem,Chance The Rapper 
2016-11-26,47,Middle Of A Memory,Cole Swindell
2016-11-26,48,Setting The World On Fire,Kenny Chesney 
2016-11-26,49,1 Night,Lil Yachty
2016-11-26,50,Pick Up The Phone,Young Thug And Travis Scott 
2016-11-26,51,Sleep Without You,Brett Young
2016-11-26,52,A Little More Summertime,Jason Aldean
2016-11-26,53,Better Man,Little Big Town
2016-11-26,54,Move,Luke Bryan
2016-11-26,55,My Way,Calvin Harris
2016-11-26,56,Come And See Me,PARTYNE
2016-11-26,57,No Heart,21 Savage 
2016-11-26,58,Mercy,Shawn Mendes
2016-11-26,59,You Was Right,Lil Uzi Vert
2016-11-26,60,All We Know,The Chainsmokers 
2016-11-26,61,Bounce Back,Big Sean
2016-11-26,62,Money Longer,Lil Uzi Vert
2016-11-26,63,Song For Another Time,Old Dominion
2016-11-26,64,This Town,Niall Horan
2016-11-26,65,Love On The Brain,Rihanna
2016-11-26,66,Love Me Now,John Legend
2016-11-26,67,Fade,Kanye West
2016-11-26,68,Too Much Sauce,DJ ESCO 
2016-11-26,69,No Limit,Usher 
2016-11-26,70,Vice,Miranda Lambert
2016-11-26,71,Setting Fires,The Chainsmokers 
2016-11-26,72,Dirty Laundry,Carrie Underwood
2016-11-26,73,Bad Things,Machine Gun Kelly 
2016-11-26,74,Wanna Be That Song,Brett Eldredge
2016-11-26,75,Fresh Eyes,Andy Grammer
2016-11-26,76,Look Alive,Rae Sremmurd
2016-11-26,77,Key To The Streets,YFN Lucci 
2016-11-26,78,HandClap,Fitz And The Tantrums
2016-11-26,79,Litty,Meek Mill 
2016-11-26,80,Say You Won't Let Go,James Arthur
2016-11-26,81,Hallelujah,Pentatoni
2016-11-26,82,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO
2016-11-26,83,Ain't My Fault,Zara Larsson
2016-11-26,84,What They Want,Russ
2016-11-26,85,Capsize,Frenship 
2016-11-26,86,It Don't Hurt Like It Used To,Billy Currington
2016-11-26,87,Selfish,PnB Rock
2016-11-26,88,How I'll Always Be,Tim McGraw
2016-11-26,89,Star Of The Show,Thomas Rhett
2016-11-26,90,My Sh*t,A Boogie Wit da Hoodie
2016-11-26,91,80s Mercedes,Maren Morris
2016-11-26,92,I Know Somebody,LOCASH
2016-11-26,93,All Eyez,The Game 
2016-11-26,94,Wishing,DJ Drama 
2016-11-26,95,"Wat U Mean (Aye, Aye, Aye)",Dae Dae
2016-11-26,96,Million Reasons,Lady Gaga
2016-11-26,97,Greenlight,Pitbull 
2016-11-26,98,Kill A Word,Eric Church 
2016-11-26,99,Hold Up,Beyonce
2016-11-26,100,Gangsta,Kehlani
2016-12-03,1,Black Beatles,Rae Sremmurd 
2016-12-03,2,Closer,The Chainsmokers 
2016-12-03,3,Starboy,The Weeknd 
2016-12-03,4,Side To Side,Ariana Grande 
2016-12-03,5,Heathens,twenty one pilots
2016-12-03,6,24K Magic,Bruno Mars
2016-12-03,7,Let Me Love You,DJ Snake 
2016-12-03,8,Juju On That Beat (TZ Anthem),Zay Hilfigerrr 
2016-12-03,9,Broccoli,D.R.A.M. 
2016-12-03,10,Don't Wanna Know,Maroon 5 
2016-12-03,11,I Hate U I Love U,gnash 
2016-12-03,12,Caroline,Amine
2016-12-03,13,Cold Water,Major Lazer 
2016-12-03,14,Fake Love,Drake
2016-12-03,15,Starving,Hailee Steinfeld 
2016-12-03,16,Treat You Better,Shawn Mendes
2016-12-03,17,Scars To Your Beautiful,Alessia Cara
2016-12-03,18,Can't Stop The Feeling!,Justin Timberlake
2016-12-03,19,Cheap Thrills,Sia 
2016-12-03,20,The Greatest,Sia 
2016-12-03,21,Unsteady,
2016-12-03,22,OOOUUU,Young M.A
2016-12-03,23,Don't Let Me Down,The Chainsmokers 
2016-12-03,24,Blue Ain't Your Color,Keith Urban
2016-12-03,25,This Is What You Came For,Calvin Harris 
2016-12-03,26,In The Name Of Love,Martin Garri
2016-12-03,27,Gold,Kiiara
2016-12-03,28,Ride,twenty one pilots
2016-12-03,29,Chill Bill,Rob $tone 
2016-12-03,30,May We All,Florida Georgia Line 
2016-12-03,31,Used To This,Future 
2016-12-03,32,Needed Me,Rihanna
2016-12-03,33,One Dance,Drake 
2016-12-03,34,Do You Mind,DJ Khaled 
2016-12-03,35,All Time Low,Jon Bellion
2016-12-03,36,X,21 Savage 
2016-12-03,37,Sucker For Pain,"Lil Wayne, Wiz Khalifa "
2016-12-03,38,Tiimmy Turner,Desiigner
2016-12-03,39,Send My Love (To Your New Lover),Adele
2016-12-03,40,Luv,Tory Lanez
2016-12-03,41,Love Me Now,John Legend
2016-12-03,42,Panda,Desiigner
2016-12-03,43,No Problem,Chance The Rapper 
2016-12-03,44,Sneakin',Drake 
2016-12-03,45,Pick Up The Phone,Young Thug And Travis Scott 
2016-12-03,46,Bad Things,Machine Gun Kelly 
2016-12-03,47,Mercy,Shawn Mendes
2016-12-03,48,Too Good,Drake 
2016-12-03,49,We Don't Talk Anymore,Charlie Puth 
2016-12-03,50,Love On The Brain,Rihanna
2016-12-03,51,Sleep Without You,Brett Young
2016-12-03,52,Middle Of A Memory,Cole Swindell
2016-12-03,53,1 Night,Lil Yachty
2016-12-03,54,A Little More Summertime,Jason Aldean
2016-12-03,55,Come And See Me,PARTYNE
2016-12-03,56,Hallelujah,Pentatoni
2016-12-03,57,You Was Right,Lil Uzi Vert
2016-12-03,58,Setting The World On Fire,Kenny Chesney 
2016-12-03,59,Hallelujah,Leonard Cohen
2016-12-03,60,Bounce Back,Big Sean
2016-12-03,61,This Town,Niall Horan
2016-12-03,62,Song For Another Time,Old Dominion
2016-12-03,63,Too Much Sauce,DJ ESCO 
2016-12-03,64,Wanna Be That Song,Brett Eldredge
2016-12-03,65,No Heart,21 Savage 
2016-12-03,66,Fade,Kanye West
2016-12-03,67,Fresh Eyes,Andy Grammer
2016-12-03,68,All We Know,The Chainsmokers 
2016-12-03,69,Me And Your Mama,Childish Gambino
2016-12-03,70,Better Man,Little Big Town
2016-12-03,71,Dirty Laundry,Carrie Underwood
2016-12-03,72,Look Alive,Rae Sremmurd
2016-12-03,73,Move,Luke Bryan
2016-12-03,74,My Way,Calvin Harris
